References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
Q1	1	MOSFET N TO-252-2Lead		STD96N3LLH6	497-11214-2-ND	511STD96N3LLH6			
F1	2	F Small Fuse Fuseholder5x20 horiz lateral		01110501Z	F4189-ND	57601110501Z		69R7705	1848686
F1_10A	1	Fuse 5x20 10A		5ST 10-R	507-1256-ND	5305ST10R			
F1_5A	1	Fuse 5x20 5A		5VT 5 -R	5VT	5305VT5R			
P1	1	BARREL JACK DC Barrel Jack		PJ-102AH	CP-102AH-ND	490PJ102AH			
P2	1	CONN 01X02 Connector 01x02 bornier2 5.08mm		1776493-2	A122765-ND	57117764932		95Y9029	
U1	1	74AHCT1G126 SOT-353		74AHCT1G126SE-7	74AHCT1G126SE-7DICT-ND	62174AHCT1G126SE7			2057393
U2	1	74AHC1G125 SOT-353		74AHC1G125SE-7	74AHC1G125SE-7DICT-ND	62174AHC1G125SE7		47T3881	1893809
C1	1	CP 47uF Polarised capacitor c elec 6.3x5.8 25V 20%		UWT1E470MCL6GS	493-9881-6-ND	647UWT1E470MCL6S			
R1,R2,R3	3	R 10K Resistor 0603		ERJ-3GEYJ103V	P10KGCT-ND	667ERJ3GEYJ103V	7325656	97W7470	2059627
D1	1	LED 0603 Red		HSMC-C130	HSMC-C130-ND	630HSMCC130		50M3910	
P3	1	CONN 01X03 Connector 01x03 Pin Header Angled 1x03 2.54mm		826947-3	826947-3-ND	5718269473		96Y4870	
P4,P5,P6,P7	4	CONN 01X03 Connector 01x03 Molex spox 1x3 right 2.5mm		22-05-7035	WM18901-ND	53822057035	6878095	57R9151 22057035	
P8,P9	2	CONN 01X03 Connector 01x03 Molex spox 1x3 straight 2.5mm		22-03-5035	WM18887-ND	53822035035	6878048	98K6552	9979620
JP1,JP2,JP3	3	JUMPER4 Pin Header Straight 1x04 2.54mm		5-146274-4	A122867-ND	57151462744		18R8452	
JP4	1	JUMPER3 Pin Header Straight 1x03 2.54mm		4-103321-5	4-103321-5-ND	57141033215		96Y1568	
JP1_,JP2_,JP3_,JP4_	4	SHUNT 1x2 2.54mm		68786-102LF	609-3121-ND	64968786102LF		53K1469	2579771
SHIELD1	1	Arduino Shield stacking headers for Arduino (R3 Compatible)		485-85	10-628485-852B-ND	48585	4372309	64T6699 20848585	2098971
